DDH_name,From_m,To_m,JoinID,Sample_length_m,Al_pct,Si_pct,S_pct,K_pct,Ca_pct,Ti_ppm,Mn_ppm,Fe_pct,Cu_ppm,Rb_ppm,Sr_ppm,Major_Unit_Interp
DDH-1,1142.800049,1142.900024,SCC-0011142.81142.9,0.100000001,6.024199963,34.34030151,0.881600022,6.395599842,0.37439999,888,204,1.267400026,631,191,61,Oracle Granite
DDH-1,1142.900024,1143,SCC-0011142.91143,0.100000001,5.603499889,34.96519852,0.736500025,6.232999802,0.210500002,977,100,0.864899993,1270,194,63,Oracle Granite
DDH-1,1143,1143.099976,SCC-00111431143.1,0.100000001,5.692100048,39.58990097,0.720799983,5.083600044,0.274500012,955,160,1.008100033,1819,157,63,Oracle Granite
DDH-1,1143.099976,1143.199951,SCC-0011143.11143.2,0.100000001,7.099500179,32.82329941,0.807200015,6.975599766,0.243699998,617,115,0.999499977,2254,222,85,Oracle Granite
DDH-1,1143.199951,1143.300049,SCC-0011143.21143.3,0.100000001,5.325900078,32.80459976,0.526000023,6.524499893,0.380100012,1313,258,0.909500003,1439,196,61,Oracle Granite
DDH-1,1143.300049,1143.400024,SCC-0011143.31143.4,0.100000001,6.18599987,33.44430161,0.5273,7.009699821,0.459699988,967,205,0.89139998,1511,207,63,Oracle Granite
DDH-1,1143.400024,1143.5,SCC-0011143.41143.5,0.100000001,6.656799793,33.79169846,0.636900008,7.530200005,0.34889999,1040,169,0.792100012,1829,241,70,Oracle Granite
DDH-1,1143.599976,1143.699951,SCC-0011143.61143.7,0.100000001,6.239999771,34.23059845,0.591700017,5.320700169,0.586700022,900,294,0.979900002,4140,203,73,Oracle Granite
DDH-1,1143.699951,1143.800049,SCC-0011143.71143.8,0.100000001,7.353899956,35.04949951,0.619000018,7.328299999,0.350499988,984,127,1.034800053,1689,219,63,Oracle Granite
DDH-1,1143.800049,1143.900024,SCC-0011143.81143.9,0.100000001,6.376200199,32.28430176,0.560500026,6.239500046,0.571200013,856,296,0.923900008,1435,204,65,Oracle Granite
DDH-1,1143.900024,1144,SCC-0011143.91144,0.100000001,6.752999783,34.23649979,0.449999988,6.015600204,0.368000001,819,177,0.915499985,2117,233,65,Oracle Granite
DDH-1,1144,1144.099976,SCC-00111441144.1,0.100000001,6.943999767,31.93630028,0.660600007,7.565000057,0.296400011,1036,182,0.841199994,1741,239,92,Oracle Granite
DDH-1,1144.099976,1144.199951,SCC-0011144.11144.2,0.100000001,5.928299904,31.58580017,0.710699975,5.921999931,0.703000009,1378,307,0.88410002,1000,202,88,Oracle Granite
DDH-1,1144.199951,1144.300049,SCC-0011144.21144.3,0.100000001,5.015399933,32.84379959,0.451499999,4.711599827,1.540500045,1082,671,0.740800023,1365,156,64,Oracle Granite
DDH-1,1144.300049,1144.400024,SCC-0011144.31144.4,0.100000001,6.881499767,33.88199997,0.573300004,5.698200226,1.457999945,775,625,0.922100008,2638,164,70,Oracle Granite
DDH-1,1144.400024,1144.5,SCC-0011144.41144.5,0.100000001,6.242199898,29.72509956,0.453799993,6.133200169,0.627600014,750,360,0.744799972,1755,189,73,Oracle Granite
DDH-1,1144.5,1144.599976,SCC-0011144.51144.6,0.100000001,7.627999783,30.84399986,0.470299989,7.566899776,0.769200027,1016,331,1.312999964,3631,291,99,Oracle Granite
DDH-1,1144.599976,1144.699951,SCC-0011144.61144.7,0.100000001,6.824100018,30.5454998,0.889500022,6.035900116,0.856000006,1114,412,1.450999975,2973,184,80,Oracle Granite
DDH-1,1144.699951,1144.800049,SCC-0011144.71144.8,0.100000001,6.793799877,34.65980148,0.634800017,6.734099865,0.636399984,1107,376,1.150400043,2412,229,74,Oracle Granite
DDH-1,1144.800049,1144.900024,SCC-0011144.81144.9,0.100000001,7.518400192,36.03279877,0.607299984,6.697899818,1.026900053,1088,466,1.09920001,2207,198,72,Oracle Granite
DDH-1,1144.900024,1145,SCC-0011144.91145,0.100000001,6.887700081,22.72590065,1.271499991,4.795000076,1.531100035,798,563,3.685199976,14693,226,51,Oracle Granite
DDH-1,1145,1145.099976,SCC-00111451145.1,0.100000001,5.37650013,34.15319824,0.945599973,5.199500084,2.391200066,694,974,0.710900009,1583,156,80,Oracle Granite
DDH-1,1145.199951,1145.300049,SCC-0011145.21145.3,0.100000001,7.201900005,29.40719986,0.892400026,6.547399998,1.627699971,1397,703,2.084199905,3132,328,132,Diabase
DDH-1,1145.300049,1145.400024,SCC-0011145.31145.4,0.100000001,8.180999756,20.7560997,1.177800059,3.627500057,0.520500004,5263,622,13.20969963,23283,207,72,Diabase
DDH-1,1145.400024,1145.5,SCC-0011145.41145.5,0.100000001,5.512199879,28.3810997,0.58160001,4.73239994,0.982500017,1580,550,1.735200047,1927,161,67,Oracle Granite
DDH-1,1145.5,1145.599976,SCC-0011145.51145.6,0.100000001,6.927800179,31.53849983,1.015200019,5.409599781,0.875100017,1721,408,1.848899961,1909,206,104,Oracle Granite
DDH-1,1145.599976,1145.699951,SCC-0011145.61145.7,0.100000001,7.068999767,30.20660019,0.404799998,5.331299782,1.353500009,1959,827,2.60739994,2875,191,78,Oracle Granite
DDH-1,1145.699951,1145.800049,SCC-0011145.71145.8,0.100000001,6.10010004,24.57819939,0.909399986,3.571199894,1.225000024,1952,694,2.661000013,2147,116,57,Oracle Granite
DDH-1,1146,1146.099976,SCC-00111461146.1,0.100000001,6.128799915,34.90650177,0.381599993,5.369599819,0.469599992,856,229,0.772099972,910,204,94,Oracle Granite
DDH-1,1146.099976,1146.199951,SCC-0011146.11146.2,0.100000001,6.682099819,35.15599823,0.292199999,5.998899937,0.296000004,1169,157,0.914499998,942,236,126,Oracle Granite
DDH-1,1146.199951,1146.300049,SCC-0011146.21146.3,0.100000001,7.620399952,33.43569946,0.31279999,6.20690012,0.436100006,1258,223,0.950299978,767,191,93,Oracle Granite
DDH-1,1146.300049,1146.400024,SCC-0011146.31146.4,0.100000001,6.144499779,32.97280121,0.388500005,5.654200077,0.820800006,1043,264,0.788999975,557,223,110,Oracle Granite
DDH-1,1146.400024,1146.5,SCC-0011146.41146.5,0.100000001,5.475500107,32.04140091,0.555599988,4.979199886,0.358900011,1107,191,0.81129998,476,191,85,Oracle Granite
